run,repeat,sweep,dtype,size,seconds
62745432,0,batch,f16,16,0.000149460568
62745432,1,batch,f16,16,0.000147717283
62745432,2,batch,f16,16,0.000146873627
62745432,3,batch,f16,16,0.000147588868
62745432,4,batch,f16,16,0.000146631292
62745432,5,batch,f16,16,0.000146615945
62745432,6,batch,f16,16,0.000146062785
62745432,7,batch,f16,16,0.000146044624
62745432,8,batch,f16,16,0.000146489917
62745432,9,batch,f16,16,0.000147175755
62745432,10,batch,f16,16,0.000146277175
62745432,11,batch,f16,16,0.000146250607
62745429,0,batch,f16,2,0.000146665428
62745429,1,batch,f16,2,0.000145627577
62745429,2,batch,f16,2,0.000146130997
62745429,3,batch,f16,2,0.000145701785
62745429,4,batch,f16,2,0.000146282205
62745429,5,batch,f16,2,0.000145957773
62745429,6,batch,f16,2,0.000146021605
62745429,7,batch,f16,2,0.000145973573
62745429,8,batch,f16,2,0.000145069747
62745429,9,batch,f16,2,0.000146440756
62745429,10,batch,f16,2,0.000146661053
62745429,11,batch,f16,2,0.000146766592
62745431,0,batch,f16,8,0.000185452577
62745431,1,batch,f16,8,0.000146482042
62745431,2,batch,f16,8,0.00014579217
62745431,3,batch,f16,8,0.000146281707
62745431,4,batch,f16,8,0.00014313063
62745431,5,batch,f16,8,0.000144116952
62745431,6,batch,f16,8,0.00014585213
62745431,7,batch,f16,8,0.000143645468
62745431,8,batch,f16,8,0.000144091125
62745431,9,batch,f16,8,0.000148511561
62745431,10,batch,f16,8,0.000145857945
62745431,11,batch,f16,8,0.000145416579
62745430,0,batch,f16,4,0.000170905447
62745430,1,batch,f16,4,0.000147970595
62745430,2,batch,f16,4,0.000149774081
62745430,3,batch,f16,4,0.000150421202
62745430,4,batch,f16,4,0.000147568736
62745430,5,batch,f16,4,0.000147579087
62745430,6,batch,f16,4,0.000149698553
62745430,7,batch,f16,4,0.000149856601
62745430,8,batch,f16,4,0.000149356986
62745430,9,batch,f16,4,0.000150232697
62745430,10,batch,f16,4,0.000149575641
62745430,11,batch,f16,4,0.000149654635
62745428,0,batch,f16,1,0.000222758056
62745428,1,batch,f16,1,0.000145457942
62745428,2,batch,f16,1,0.000143746411
62745428,3,batch,f16,1,0.00014381836
62745428,4,batch,f16,1,0.00014441431
62745428,5,batch,f16,1,0.000143380878
62745428,6,batch,f16,1,0.000145640741
62745428,7,batch,f16,1,0.000143396578
62745428,8,batch,f16,1,0.000143596416
62745428,9,batch,f16,1,0.000145959436
62745428,10,batch,f16,1,0.000144779799
62745428,11,batch,f16,1,0.000144696212
62745478,0,batch,f16,32,0.000178282012
62745478,1,batch,f16,32,0.000146256759
62745478,2,batch,f16,32,0.000145930727
62745478,3,batch,f16,32,0.00014724087
62745478,4,batch,f16,32,0.000145350759
62745478,5,batch,f16,32,0.000144753964
62745478,6,batch,f16,32,0.000146510099
62745478,7,batch,f16,32,0.000145177367
62745478,8,batch,f16,32,0.000145595031
62745478,9,batch,f16,32,0.000145652405
62745478,10,batch,f16,32,0.000147213099
62745478,11,batch,f16,32,0.000146246674
62745479,0,batch,f16,64,0.000176264791
62745479,1,batch,f16,64,0.000150298837
62745479,2,batch,f16,64,0.000148935902
62745479,3,batch,f16,64,0.000148435871
62745479,4,batch,f16,64,0.000148837718
62745479,5,batch,f16,64,0.000148007718
62745479,6,batch,f16,64,0.000149607255
62745479,7,batch,f16,64,0.00014970628
62745479,8,batch,f16,64,0.000149545417
62745479,9,batch,f16,64,0.000148188804
62745479,10,batch,f16,64,0.000148563506
62745479,11,batch,f16,64,0.000150091125
62745480,0,batch,f16,128,0.000172130278
62745480,1,batch,f16,128,0.000147678071
62745480,2,batch,f16,128,0.000147045066
62745480,3,batch,f16,128,0.000147819157
62745480,4,batch,f16,128,0.000149280628
62745480,5,batch,f16,128,0.000149815223
62745480,6,batch,f16,128,0.000145342219
62745480,7,batch,f16,128,0.000146840498
62745480,8,batch,f16,128,0.000147193061
62745480,9,batch,f16,128,0.000146413098
62745480,10,batch,f16,128,0.000145985494
62745480,11,batch,f16,128,0.000146713675
62745481,0,batch,f16,256,0.000171491802
62745481,1,batch,f16,256,0.000145606932
62745481,2,batch,f16,256,0.000146995188
62745481,3,batch,f16,256,0.000145824877
62745481,4,batch,f16,256,0.000144751736
62745481,5,batch,f16,256,0.000146043347
62745481,6,batch,f16,256,0.000145785951
62745481,7,batch,f16,256,0.000146758521
62745481,8,batch,f16,256,0.000146408739
62745481,9,batch,f16,256,0.000145975319
62745481,10,batch,f16,256,0.000145881712
62745481,11,batch,f16,256,0.000145480493
62755780,0,batch,f16,512,0.000168990313
62755780,1,batch,f16,512,0.000145990986
62755780,2,batch,f16,512,0.000145118447
62755780,3,batch,f16,512,0.000144335479
62755780,4,batch,f16,512,0.000146149424
62755780,5,batch,f16,512,0.000146361354
62755780,6,batch,f16,512,0.000145707461
62755780,7,batch,f16,512,0.000145600237
62755780,8,batch,f16,512,0.000145468501
62755780,9,batch,f16,512,0.000145799577
62755780,10,batch,f16,512,0.000144039269
62755780,11,batch,f16,512,0.000145945448
62755782,0,batch,f16,1024,0.000170196058
62755782,1,batch,f16,1024,0.000144139683
62755782,2,batch,f16,1024,0.000143706088
62755782,3,batch,f16,1024,0.000143769693
62755782,4,batch,f16,1024,0.000144381735
62755782,5,batch,f16,1024,0.000144090116
62755782,6,batch,f16,1024,0.000143519551
62755782,7,batch,f16,1024,0.000144054492
62755782,8,batch,f16,1024,0.000144271875
62755782,9,batch,f16,1024,0.000145733826
62755782,10,batch,f16,1024,0.000146056522
62755782,11,batch,f16,1024,0.000143113489
62755785,0,batch,f16,2048,0.000169442934
62755785,1,batch,f16,2048,0.000143248918
62755785,2,batch,f16,2048,0.000143565699
62755785,3,batch,f16,2048,0.000143001097
62755785,4,batch,f16,2048,0.000142901972
62755785,5,batch,f16,2048,0.000142908076
62755785,6,batch,f16,2048,0.000142866882
62755785,7,batch,f16,2048,0.000142849334
62755785,8,batch,f16,2048,0.00014321095
62755785,9,batch,f16,2048,0.00014286606
62755785,10,batch,f16,2048,0.000142905618
62755785,11,batch,f16,2048,0.000143411738
62755789,0,batch,f16,4096,0.000167138345
62755789,1,batch,f16,4096,0.000145327805
62755789,2,batch,f16,4096,0.000145961338
62755789,3,batch,f16,4096,0.000145923051
62755789,4,batch,f16,4096,0.000145716588
62755789,5,batch,f16,4096,0.000146672074
62755789,6,batch,f16,4096,0.000146035335
62755789,7,batch,f16,4096,0.000148637264
62755789,8,batch,f16,4096,0.000148809364
62755789,9,batch,f16,4096,0.000148484631
62755789,10,batch,f16,4096,0.000146863926
62755789,11,batch,f16,4096,0.000146262211
62755795,0,batch,f16,8192,0.000177236403
62755795,1,batch,f16,8192,0.000145012002
62755795,2,batch,f16,8192,0.000143636832
62755795,3,batch,f16,8192,0.000146491393
62755795,4,batch,f16,8192,0.000147400595
62755795,5,batch,f16,8192,0.000146311156
62755795,6,batch,f16,8192,0.000145023336
62755795,7,batch,f16,8192,0.000144471137
62755795,8,batch,f16,8192,0.000143964338
62755795,9,batch,f16,8192,0.000143743146
62755795,10,batch,f16,8192,0.000146076675
62755795,11,batch,f16,8192,0.000144715975
62755798,0,batch,f16,16384,0.000170501894
62755798,1,batch,f16,16384,0.000144044266
62755798,2,batch,f16,16384,0.000146713716
62755798,3,batch,f16,16384,0.000146489347
62755798,4,batch,f16,16384,0.000144751299
62755798,5,batch,f16,16384,0.000146462074
62755798,6,batch,f16,16384,0.000146898179
62755798,7,batch,f16,16384,0.000146172968
62755798,8,batch,f16,16384,0.000144592491
62755798,9,batch,f16,16384,0.000145354234
62755798,10,batch,f16,16384,0.000144072466
62755798,11,batch,f16,16384,0.000145737621
62755801,0,batch,f16,32768,0.000207686886
62755801,1,batch,f16,32768,0.000147120114
62755801,2,batch,f16,32768,0.000146219427
