run,repeat,sweep,dtype,size,seconds
62700076,0,batch,f16,1,5.84527434e-05
62700076,1,batch,f16,1,5.88206733e-05
62700076,2,batch,f16,1,5.84311767e-05
62700076,3,batch,f16,1,5.84735555e-05
62700076,4,batch,f16,1,5.85084294e-05
62700076,5,batch,f16,1,5.84040493e-05
62700076,6,batch,f16,1,5.81273747e-05
62700076,7,batch,f16,1,5.86285574e-05
62700076,8,batch,f16,1,5.85018471e-05
62700076,9,batch,f16,1,5.83584914e-05
62700076,10,batch,f16,1,5.84340746e-05
62700076,11,batch,f16,1,5.8440597e-05
62700078,0,batch,f16,2,6.27685834e-05
62700078,1,batch,f16,2,6.24901497e-05
62700078,2,batch,f16,2,6.24512771e-05
62700078,3,batch,f16,2,6.22927176e-05
62700078,4,batch,f16,2,6.23019512e-05
62700078,5,batch,f16,2,6.16520705e-05
62700078,6,batch,f16,2,6.20791199e-05
62700078,7,batch,f16,2,6.2022973e-05
62700078,8,batch,f16,2,6.26720019e-05
62700078,9,batch,f16,2,6.25916706e-05
62700078,10,batch,f16,2,6.26974232e-05
62700078,11,batch,f16,2,6.24065743e-05
62700081,0,batch,f16,4,6.01606377e-05
62700081,1,batch,f16,4,6.01989446e-05
62700081,2,batch,f16,4,6.05621901e-05
62700081,3,batch,f16,4,6.07652414e-05
62700081,4,batch,f16,4,6.03801894e-05
62700081,5,batch,f16,4,5.98105389e-05
62700081,6,batch,f16,4,6.03014809e-05
62700081,7,batch,f16,4,6.06232314e-05
62700081,8,batch,f16,4,6.01948842e-05
62700081,9,batch,f16,4,6.06918695e-05
62700081,10,batch,f16,4,6.05601883e-05
62700081,11,batch,f16,4,6.03926883e-05
62700082,0,batch,f16,8,7.05339369e-05
62700082,1,batch,f16,8,7.07173028e-05
62700082,2,batch,f16,8,7.0751113e-05
62700082,3,batch,f16,8,7.12031776e-05
62700082,4,batch,f16,8,7.05899404e-05
62700082,5,batch,f16,8,6.99643652e-05
62700082,6,batch,f16,8,7.02583089e-05
62700082,7,batch,f16,8,7.03353753e-05
62700082,8,batch,f16,8,7.02009752e-05
62700082,9,batch,f16,8,7.05550581e-05
62700082,10,batch,f16,8,7.05091488e-05
62700082,11,batch,f16,8,7.02595932e-05
62700084,0,batch,f16,16,7.57289642e-05
62700084,1,batch,f16,16,7.57579186e-05
62700084,2,batch,f16,16,7.55664655e-05
62700084,3,batch,f16,16,7.56668147e-05
62700084,4,batch,f16,16,7.56990228e-05
62700084,5,batch,f16,16,7.56215708e-05
62700084,6,batch,f16,16,7.5426459e-05
62700084,7,batch,f16,16,7.56505702e-05
62700084,8,batch,f16,16,7.5394935e-05
62700084,9,batch,f16,16,7.52648383e-05
62700084,10,batch,f16,16,7.52509674e-05
62700084,11,batch,f16,16,7.54380605e-05
62700085,0,batch,f16,32,8.41799471e-05
62700085,1,batch,f16,32,8.43612125e-05
62700085,2,batch,f16,32,8.415646e-05
62700085,3,batch,f16,32,8.4252273e-05
62700085,4,batch,f16,32,8.46912062e-05
62700085,5,batch,f16,32,8.4420698e-05
62700085,6,batch,f16,32,8.44523782e-05
62700085,7,batch,f16,32,8.47692595e-05
62700085,8,batch,f16,32,8.46981556e-05
62700085,9,batch,f16,32,8.44003304e-05
62700085,10,batch,f16,32,8.45496669e-05
62700085,11,batch,f16,32,8.44676535e-05
62700088,0,batch,f16,64,9.98295203e-05
62700088,1,batch,f16,64,9.99196478e-05
62700088,2,batch,f16,64,9.95839288e-05
62700088,3,batch,f16,64,9.99501733e-05
62700088,4,batch,f16,64,9.96148006e-05
62700088,5,batch,f16,64,9.9589033e-05
62700088,6,batch,f16,64,9.95657527e-05
62700088,7,batch,f16,64,9.99574481e-05
62700088,8,batch,f16,64,9.95193774e-05
62700088,9,batch,f16,64,9.94806741e-05
62700088,10,batch,f16,64,9.94762122e-05
62700088,11,batch,f16,64,9.9454338e-05
62700089,0,batch,f16,128,0.000204685335
62700089,1,batch,f16,128,0.000205826991
62700089,2,batch,f16,128,0.000205114324
62700089,3,batch,f16,128,0.000205107684
62700089,4,batch,f16,128,0.000198446614
62700089,5,batch,f16,128,0.000201644127
62700089,6,batch,f16,128,0.000202355816
62700089,7,batch,f16,128,0.000202937725
62700089,8,batch,f16,128,0.000200559738
62700089,9,batch,f16,128,0.000200271838
62700089,10,batch,f16,128,0.000201479216
62700089,11,batch,f16,128,0.000201031561
62700090,0,batch,f16,256,0.000442773884
62700090,1,batch,f16,256,0.000445133743
62700090,2,batch,f16,256,0.000440301897
62700090,3,batch,f16,256,0.000440273207
62700090,4,batch,f16,256,0.000440101835
62700090,5,batch,f16,256,0.000440297307
62700090,6,batch,f16,256,0.000440940164
62700090,7,batch,f16,256,0.000440675099
62700090,8,batch,f16,256,0.000439929005
62700090,9,batch,f16,256,0.000440964679
62700090,10,batch,f16,256,0.000442300015
62700090,11,batch,f16,256,0.000440559077
62700096,0,batch,f16,512,0.000770155155
62700096,1,batch,f16,512,0.000776080908
62700096,2,batch,f16,512,0.000773794279
62700096,3,batch,f16,512,0.000768910869
62700096,4,batch,f16,512,0.000765701541
62700096,5,batch,f16,512,0.000771391205
62700096,6,batch,f16,512,0.000768042217
62700096,7,batch,f16,512,0.000769983467
62700096,8,batch,f16,512,0.000772139066
62700096,9,batch,f16,512,0.000767714164
62700096,10,batch,f16,512,0.000772097581
62700096,11,batch,f16,512,0.000764220403
62700099,0,batch,f16,1024,0.00163132352
62700099,1,batch,f16,1024,0.00160771003
62700099,2,batch,f16,1024,0.00184069898
62700099,3,batch,f16,1024,0.00160931481
62700099,4,batch,f16,1024,0.00156573188
62700099,5,batch,f16,1024,0.00363655421
62700099,6,batch,f16,1024,0.00320007092
62700099,7,batch,f16,1024,0.00303035533
62700099,8,batch,f16,1024,0.00324911782
62700099,9,batch,f16,1024,0.00235253738
62700099,10,batch,f16,1024,0.00283522959
62700099,11,batch,f16,1024,0.00262680071
62700101,0,batch,f16,2048,0.00141265269
62700101,1,batch,f16,2048,0.00140782768
62700101,2,batch,f16,2048,0.00143188244
62700101,3,batch,f16,2048,0.00144274176
62700101,4,batch,f16,2048,0.00141732597
62700101,5,batch,f16,2048,0.00141267573
62700101,6,batch,f16,2048,0.00141235402
62700101,7,batch,f16,2048,0.00141125278
62700101,8,batch,f16,2048,0.0014125251
62700101,9,batch,f16,2048,0.00141459834
62700101,10,batch,f16,2048,0.00141475163
62700101,11,batch,f16,2048,0.00140488799
62700105,0,batch,f16,4096,0.00268507783
62700105,1,batch,f16,4096,0.00267140144
62700105,2,batch,f16,4096,0.00267575859
62700105,3,batch,f16,4096,0.00267667833
62700105,4,batch,f16,4096,0.0026866362
62700105,5,batch,f16,4096,0.00267102592
62700105,6,batch,f16,4096,0.00266175947
62700105,7,batch,f16,4096,0.00269079942
62700105,8,batch,f16,4096,0.0026711682
62700105,9,batch,f16,4096,0.00267032403
62700105,10,batch,f16,4096,0.00265915244
62700105,11,batch,f16,4096,0.0026800635
62700107,0,batch,f16,8192,0.00518324322
62700107,1,batch,f16,8192,0.00517156828
62700107,2,batch,f16,8192,0.0051770475
62700107,3,batch,f16,8192,0.005172788
62700107,4,batch,f16,8192,0.005187095
62700107,5,batch,f16,8192,0.00515569345
62700107,6,batch,f16,8192,0.00521319422
62700107,7,batch,f16,8192,0.00516796528
62700107,8,batch,f16,8192,0.00516513572
62700107,9,batch,f16,8192,0.00514741639
62700107,10,batch,f16,8192,0.00518810705
62700107,11,batch,f16,8192,0.00514497611
62700183,0,batch,f16,16384,0.0102219986
62700183,1,batch,f16,16384,0.0102045065
62700183,2,batch,f16,16384,0.0101821993
62700183,3,batch,f16,16384,0.0101284573
62700183,4,batch,f16,16384,0.0101884666
62700183,5,batch,f16,16384,0.0101865202
62700183,6,batch,f16,16384,0.0102438201
62700183,7,batch,f16,16384,0.0101703242
62700183,8,batch,f16,16384,0.010140784
62700183,9,batch,f16,16384,0.010166714
62700183,10,batch,f16,16384,0.01018731
62700183,11,batch,f16,16384,0.0101885551
62700186,0,batch,f16,32768,0.020279045
62700186,1,batch,f16,32768,0.0202074573
62700186,2,batch,f16,32768,0.0201651485
62700186,3,batch,f16,32768,0.0201199438
62700186,4,batch,f16,32768,0.02022053
62700186,5,batch,f16,32768,0.0202870575
62700186,6,batch,f16,32768,0.0202288815
62700186,7,batch,f16,32768,0.020189294
62700186,8,batch,f16,32768,0.020169061
62700186,9,batch,f16,32768,0.0201742975
62700186,10,batch,f16,32768,0.0202919292
62700186,11,batch,f16,32768,0.0202086415
62700189,0,batch,f16,65536,0.04843318
62700189,1,batch,f16,65536,0.0499028605
62700189,2,batch,f16,65536,0.047991313
62700189,3,batch,f16,65536,0.0478509795
62700189,4,batch,f16,65536,0.048912191
62700189,5,batch,f16,65536,0.0480032385
62700189,6,batch,f16,65536,0.04940077
62700189,7,batch,f16,65536,0.0484989405
62700189,8,batch,f16,65536,0.0478936265
62700189,9,batch,f16,65536,0.047982514
62700189,10,batch,f16,65536,0.047566502
62700189,11,batch,f16,65536,0.0476969125
62700198,0,batch,f16,131072,0.096385925
62700198,1,batch,f16,131072,0.096992204
62700198,2,batch,f16,131072,0.096936151
62700198,3,batch,f16,131072,0.096331807
62700198,4,batch,f16,131072,0.097472859
62700198,5,batch,f16,131072,0.096605243
62700198,6,batch,f16,131072,0.096091693
62700198,7,batch,f16,131072,0.098257673
62700198,8,batch,f16,131072,0.097731053
62700198,9,batch,f16,131072,0.096161286
62700198,10,batch,f16,131072,0.096589726
62700198,11,batch,f16,131072,0.097015544
62700201,0,batch,f16,262144,0.193550099
62700201,1,batch,f16,262144,0.194776013
62700201,2,batch,f16,262144,0.196817561
62700201,3,batch,f16,262144,0.193625471
62700201,4,batch,f16,262144,0.193292147
62700201,5,batch,f16,262144,0.194005263
62700201,6,batch,f16,262144,0.193623196
62700201,7,batch,f16,262144,0.193070994
62700201,8,batch,f16,262144,0.19432726
62700201,9,batch,f16,262144,0.195089651
62700201,10,batch,f16,262144,0.193971969
62700201,11,batch,f16,262144,0.194330596
62700209,0,batch,f16,524288,0.388498997
62700209,1,batch,f16,524288,0.396400886
62700209,2,batch,f16,524288,0.388878751
62700209,3,batch,f16,524288,0.3887125
62700209,4,batch,f16,524288,0.389664611
62700209,5,batch,f16,524288,0.390813794
62700209,6,batch,f16,524288,0.387963445
62700209,7,batch,f16,524288,0.389007508
62700209,8,batch,f16,524288,0.389351255
62700209,9,batch,f16,524288,0.38867648
62700209,10,batch,f16,524288,0.388375645
62700209,11,batch,f16,524288,0.391994455
62700218,0,batch,f16,1048576,0.759726837
62700218,1,batch,f16,1048576,0.778287503
62700218,2,batch,f16,1048576,0.777733631
62700218,3,batch,f16,1048576,0.778530678
62700218,4,batch,f16,1048576,0.781226241
62700218,5,batch,f16,1048576,0.78204728
62700218,6,batch,f16,1048576,0.78150812
62700218,7,batch,f16,1048576,0.78249882
62700218,8,batch,f16,1048576,0.780522551
62700218,9,batch,f16,1048576,0.779999578
62700218,10,batch,f16,1048576,0.78023762
62700218,11,batch,f16,1048576,0.783637689
62700242,0,batch,f16,2097152,1.57365827
62700251,0,batch,f16,4194304,3.10647062
62700260,0,batch,f16,8388608,6.17632746
62700275,0,batch,f16,16777216,12.3626447
62700372,0,dim,f16,1,7.36775628e-05
62700372,1,dim,f16,1,7.44142543e-05
62700372,2,dim,f16,1,7.38790233e-05
62700372,3,dim,f16,1,7.39341915e-05
62700372,4,dim,f16,1,7.36999324e-05
62700372,5,dim,f16,1,7.34636926e-05
62700372,6,dim,f16,1,7.3603274e-05
62700372,7,dim,f16,1,7.33055807e-05
62700372,8,dim,f16,1,7.34210426e-05
62700372,9,dim,f16,1,7.37266329e-05
62700372,10,dim,f16,1,7.32949856e-05
62700372,11,dim,f16,1,7.36706433e-05
62700415,0,dim,f16,2,8.58093959e-05
62700415,1,dim,f16,2,8.60950212e-05
62700415,2,dim,f16,2,8.61171974e-05
62700415,3,dim,f16,2,8.61499848e-05
62700415,4,dim,f16,2,8.60326262e-05
62700415,5,dim,f16,2,8.58286233e-05
62700415,6,dim,f16,2,8.60314731e-05
62700415,7,dim,f16,2,8.59998683e-05
62700415,8,dim,f16,2,8.63420595e-05
62700415,9,dim,f16,2,8.60202618e-05
62700415,10,dim,f16,2,8.56941703e-05
62700415,11,dim,f16,2,8.58069713e-05
62700471,0,dim,f16,4,0.000118778858
62700471,1,dim,f16,4,0.000118860917
62700471,2,dim,f16,4,0.000118894443
62700471,3,dim,f16,4,0.000118657419
62700471,4,dim,f16,4,0.000118739877
62700471,5,dim,f16,4,0.000119031519
62700471,6,dim,f16,4,0.000119141333
62700471,7,dim,f16,4,0.000118814616
62700471,8,dim,f16,4,0.000118564821
62700471,9,dim,f16,4,0.000118843747
62700471,10,dim,f16,4,0.000119015738
62700471,11,dim,f16,4,0.000118775157
62700526,0,dim,f16,8,0.000230440486
62700526,1,dim,f16,8,0.000230903124
62700526,2,dim,f16,8,0.000233685602
62700526,3,dim,f16,8,0.000236037278
62700526,4,dim,f16,8,0.000236605533
62700526,5,dim,f16,8,0.000234451973
62700526,6,dim,f16,8,0.000234022396
62700526,7,dim,f16,8,0.00023271288
62700526,8,dim,f16,8,0.000237305417
62700526,9,dim,f16,8,0.000234698376
62700526,10,dim,f16,8,0.000233854533
62700526,11,dim,f16,8,0.000235248296
62700531,0,dim,f16,16,0.000895816384
62700531,1,dim,f16,16,0.000899341741
62700531,2,dim,f16,16,0.000896963255
62700531,3,dim,f16,16,0.000899110898
62700531,4,dim,f16,16,0.000898550117
62700531,5,dim,f16,16,0.000898867519
62700531,6,dim,f16,16,0.000896965598
62700531,7,dim,f16,16,0.000896524912
62700531,8,dim,f16,16,0.000900061378
62700531,9,dim,f16,16,0.000897313528
62700531,10,dim,f16,16,0.000899769139
62700531,11,dim,f16,16,0.000898622889
62700539,0,dim,f16,32,0.00162734816
62700539,1,dim,f16,32,0.00163783338
62700539,2,dim,f16,32,0.00163231486
62700539,3,dim,f16,32,0.00163196813
62700539,4,dim,f16,32,0.0016268095
62700539,5,dim,f16,32,0.00163571958
62700539,6,dim,f16,32,0.00162907891
62700539,7,dim,f16,32,0.0016415929
62700539,8,dim,f16,32,0.00163115386
62700539,9,dim,f16,32,0.00162834018
62700539,10,dim,f16,32,0.00164019788
62700539,11,dim,f16,32,0.00163087497
62700545,0,dim,f16,64,0.00161866165
62700545,1,dim,f16,64,0.00161847643
62700545,2,dim,f16,64,0.00163200903
62700545,3,dim,f16,64,0.00205790703
62700545,4,dim,f16,64,0.00356793682
62700545,5,dim,f16,64,0.00391211393
62700545,6,dim,f16,64,0.00269399587
62700545,7,dim,f16,64,0.00250784579
62700545,8,dim,f16,64,0.00334502623
62700545,9,dim,f16,64,0.00233525325
62700545,10,dim,f16,64,0.002413318
62700545,11,dim,f16,64,0.00236844914
62700599,0,dim,f16,128,0.00141992121
62700599,1,dim,f16,128,0.00150790803
62700599,2,dim,f16,128,0.00139961301
62700599,3,dim,f16,128,0.00141448289
62700599,4,dim,f16,128,0.0014116387
62700599,5,dim,f16,128,0.00140156651
62700599,6,dim,f16,128,0.00139963923
62700599,7,dim,f16,128,0.00142420737
62700599,8,dim,f16,128,0.00142804469
62700599,9,dim,f16,128,0.00139617167
62700599,10,dim,f16,128,0.00140571275
62700599,11,dim,f16,128,0.00141443676
62700605,0,dim,f16,256,0.002647562
62700605,1,dim,f16,256,0.00264735025
62700605,2,dim,f16,256,0.00265291869
62700605,3,dim,f16,256,0.00264025005
62700605,4,dim,f16,256,0.00264304795
62700605,5,dim,f16,256,0.00265703597
