label,sweep,dtype,device,machine,host,fn,d,batch,version
cpu-1core,dim,f64,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,,1024,0.11.0
cpu-2core,batch,f16,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,64,,0.11.0
cpu-2core,batch,f32,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,64,,0.11.0
cpu-2core,batch,f64,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,64,,0.11.0
cpu-2core,dim,f16,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,,1024,0.11.0
cpu-2core,dim,f32,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,,1024,0.11.0
cpu-2core,dim,f64,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,,1024,0.11.0
cpu-4core,batch,f16,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,64,,0.11.0
cpu-4core,batch,f32,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,64,,0.11.0
cpu-4core,batch,f64,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,64,,0.11.0
cpu-4core,dim,f16,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,,1024,0.11.0
cpu-4core,dim,f32,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,,1024,0.11.0
cpu-4core,dim,f64,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,,1024,0.11.0
cpu-8core,batch,f16,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,64,,0.11.0
cpu-8core,batch,f32,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,64,,0.11.0
cpu-8core,batch,f64,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,64,,0.11.0
cpu-8core,dim,f16,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,,1024,0.11.0
cpu-8core,dim,f32,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,,1024,0.11.0
cpu-8core,dim,f64,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu032,Ackley,,1024,0.11.0
gh200,batch,f16,NVIDIA GH200 480GB,NVIDIA GH200 480GB,arm-gpu002,Ackley,64,,0.11.0
gh200,batch,f32,NVIDIA GH200 480GB,NVIDIA GH200 480GB,arm-gpu002,Ackley,64,,0.11.0
gh200,batch,f64,NVIDIA GH200 480GB,NVIDIA GH200 480GB,uri-arm-gpu002,Ackley,64,,0.11.0
gh200,dim,f16,NVIDIA GH200 480GB,NVIDIA GH200 480GB,uri-arm-gpu001,Ackley,,1024,0.11.0
gh200,dim,f32,NVIDIA GH200 480GB,NVIDIA GH200 480GB,uri-arm-gpu001,Ackley,,1024,0.11.0
gh200,dim,f64,NVIDIA GH200 480GB,NVIDIA GH200 480GB,arm-gpu002,Ackley,,1024,0.11.0
h100,batch,f16,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3,uri-gpu012,Ackley,64,,0.11.0
h100,batch,f32,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3,uri-gpu012,Ackley,64,,0.11.0
h100,batch,f64,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3,uri-gpu012,Ackley,64,,0.11.0
h100,dim,f16,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3,uri-gpu012,Ackley,,1024,0.11.0
h100,dim,f32,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3,uri-gpu012,Ackley,,1024,0.11.0
h100,dim,f64,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3,uri-gpu012,Ackley,,1024,0.11.0
l4,batch,f16,NVIDIA L4,NVIDIA L4,gpu043,Ackley,64,,0.11.0
l4,batch,f32,NVIDIA L4,NVIDIA L4,gpu043,Ackley,64,,0.11.0
l4,batch,f64,NVIDIA L4,NVIDIA L4,gpu043,Ackley,64,,0.11.0
l4,dim,f16,NVIDIA L4,NVIDIA L4,gpu043,Ackley,,1024,0.11.0
