label,sweep,dtype,device,machine,host,fn,d,batch,version,solver,tol,max_iterations,threads,shards,devices
gh200,batch,f32,NVIDIA GH200 480GB,NVIDIA GH200 480GB,uri-arm-gpu001,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
gh200,batch,f64,NVIDIA GH200 480GB,NVIDIA GH200 480GB,uri-arm-gpu001,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
h100,batch,f32,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3,uri-gpu012,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
h100,batch,f64,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3,uri-gpu012,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
h100,dim,f32,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3,uri-gpu012,Ackley,,1024,0.11.0,jax,0.001*64/d,1000,all,1,1
h100,dim,f64,NVIDIA H100 80GB HBM3,NVIDIA H100 80GB HBM3,uri-gpu012,Ackley,,1024,0.11.0,jax,1e-09*64/d,1000,all,1,1
l4,batch,f32,NVIDIA L4,NVIDIA L4,gpu056,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
l4,batch,f64,NVIDIA L4,NVIDIA L4,gpu056,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
l4,dim,f32,NVIDIA L4,NVIDIA L4,gpu043,Ackley,,1024,0.11.0,jax,0.001*64/d,1000,all,1,1
l4,dim,f64,NVIDIA L4,NVIDIA L4,gpu043,Ackley,,1024,0.11.0,jax,1e-09*64/d,1000,all,1,1
l40s,batch,f32,NVIDIA L40S,NVIDIA L40S,gpu040,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
l40s,batch,f64,NVIDIA L40S,NVIDIA L40S,ials-gpu035,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
l40s,dim,f32,NVIDIA L40S,NVIDIA L40S,ials-gpu035,Ackley,,1024,0.11.0,jax,0.001*64/d,1000,all,1,1
m40,batch,f32,Tesla M40 24GB,Tesla M40 24GB,gypsum-gpu002,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
m40,batch,f64,Tesla M40 24GB,Tesla M40 24GB,gypsum-gpu007,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
rtx_8000,batch,f32,Quadro RTX 8000,Quadro RTX 8000,gypsum-gpu182,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
rtx_8000,batch,f64,Quadro RTX 8000,Quadro RTX 8000,gypsum-gpu182,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
rtx_8000,dim,f32,Quadro RTX 8000,Quadro RTX 8000,gypsum-gpu182,Ackley,,1024,0.11.0,jax,0.001*64/d,1000,all,1,1
rtx_8000,dim,f64,Quadro RTX 8000,Quadro RTX 8000,gypsum-gpu186,Ackley,,1024,0.11.0,jax,1e-09*64/d,1000,all,1,1
scipy,batch,f64,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu049,Ackley,64,,0.11.0,scipy,1e-09,1000,1,1,1
scipy,dim,f64,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu049,Ackley,,1024,0.11.0,scipy,1e-09*64/d,1000,1,1,1
titan_x,batch,f32,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,gypsum-gpu065,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
titan_x,batch,f64,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,gypsum-gpu062,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
titan_x,dim,f32,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,gypsum-gpu070,Ackley,,1024,0.11.0,jax,0.001*64/d,1000,all,1,1
v100,batch,f32,Tesla V100-PCIE-16GB,Tesla V100-PCIE-16GB,gpu003,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
v100,batch,f64,Tesla V100-PCIE-16GB,Tesla V100-PCIE-16GB,gpu006,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
v100,dim,f32,Tesla V100-PCIE-16GB,Tesla V100-PCIE-16GB,gpu003,Ackley,,1024,0.11.0,jax,0.001*64/d,1000,all,1,1
