run,repeat,sweep,dtype,size,seconds
62717101,0,batch,f64,1,0.00095984841
62717101,1,batch,f64,1,0.00118587407
62717101,2,batch,f64,1,0.00112119009
62717101,3,batch,f64,1,0.00101697443
62717101,4,batch,f64,1,0.00111466717
62717101,5,batch,f64,1,0.00120195441
62717101,6,batch,f64,1,0.00106584774
62717101,7,batch,f64,1,0.00102089368
62717101,8,batch,f64,1,0.00103057868
62717101,9,batch,f64,1,0.00106156602
62717101,10,batch,f64,1,0.00096223515
62717101,11,batch,f64,1,0.00103187665
62717117,0,batch,f64,2,0.00209146924
62717117,1,batch,f64,2,0.00190248517
62717117,2,batch,f64,2,0.00192068715
62717117,3,batch,f64,2,0.00196054162
62717117,4,batch,f64,2,0.00225415177
62717117,5,batch,f64,2,0.00203202446
62717117,6,batch,f64,2,0.00210367672
62717117,7,batch,f64,2,0.00209886527
62717117,8,batch,f64,2,0.00188816462
62717117,9,batch,f64,2,0.00186161869
62717117,10,batch,f64,2,0.00204025767
62717117,11,batch,f64,2,0.0019891874
62717146,0,batch,f64,4,0.00402731117
62717146,1,batch,f64,4,0.00390412608
62717146,2,batch,f64,4,0.00350133061
62717146,3,batch,f64,4,0.00382197889
62717146,4,batch,f64,4,0.00383260181
62717146,5,batch,f64,4,0.003902614
62717146,6,batch,f64,4,0.0039437785
62717146,7,batch,f64,4,0.00388823371
62717146,8,batch,f64,4,0.00435678809
62717146,9,batch,f64,4,0.00380864046
62717146,10,batch,f64,4,0.00418428709
62717146,11,batch,f64,4,0.00413116067
62717159,0,batch,f64,8,0.00816646
62717159,1,batch,f64,8,0.00733337558
62717159,2,batch,f64,8,0.00738006334
62717159,3,batch,f64,8,0.0083814651
62717159,4,batch,f64,8,0.00777121375
62717159,5,batch,f64,8,0.00777792275
62717159,6,batch,f64,8,0.00826818559
62717159,7,batch,f64,8,0.00779047375
62717159,8,batch,f64,8,0.00679455743
62717159,9,batch,f64,8,0.00755771916
62717159,10,batch,f64,8,0.00757947458
62717159,11,batch,f64,8,0.00819758592
62717162,0,batch,f64,16,0.0159980665
62717162,1,batch,f64,16,0.015032555
62717162,2,batch,f64,16,0.0160701065
62717162,3,batch,f64,16,0.0153008203
62717162,4,batch,f64,16,0.0151267392
